Match ID,Home Team,Home Score,Away Team,Away Score,Score String,Date
4621592,Juventus,3,PSV Eindhoven,1,3 - 1,2024-09-17T16:45:00Z
4621648,Young Boys,0,Aston Villa,3,0 - 3,2024-09-17T16:45:00Z
4621552,Milan,1,Liverpool,3,1 - 3,2024-09-17T19:00:00Z
4621512,Bayern München,9,Dinamo Zagreb,2,9 - 2,2024-09-17T19:00:00Z
4621548,Real Madrid,3,VfB Stuttgart,1,3 - 1,2024-09-17T19:00:00Z
4621628,Sporting CP,2,Lille,0,2 - 0,2024-09-17T19:00:00Z
4621617,Bologna,0,Shakhtar Donetsk,0,0 - 0,2024-09-18T16:45:00Z
4621641,Sparta Prague,3,Salzburg,0,3 - 0,2024-09-18T16:45:00Z
4621650,Celtic,5,Slovan Bratislava,1,5 - 1,2024-09-18T19:00:00Z
4621531,Club Brugge,0,Dortmund,3,0 - 3,2024-09-18T19:00:00Z
4621492,Man City,0,Inter,0,0 - 0,2024-09-18T19:00:00Z
4621579,PSG,1,Girona,0,1 - 0,2024-09-18T19:00:00Z
4621562,Feyenoord,0,Leverkusen,4,0 - 4,2024-09-19T16:45:00Z
4621599,FK Crvena Zvezda,1,Benfica,2,1 - 2,2024-09-19T16:45:00Z
4621583,Atalanta,0,Arsenal,0,0 - 0,2024-09-19T19:00:00Z
4621519,Atletico Madrid,2,RB Leipzig,1,2 - 1,2024-09-19T19:00:00Z
4621663,Brest,2,Sturm Graz,1,2 - 1,2024-09-19T19:00:00Z
4621541,Monaco,2,Barcelona,1,2 - 1,2024-09-19T19:00:00Z
4621640,Salzburg,0,Brest,4,0 - 4,2024-10-01T16:45:00Z
4621657,VfB Stuttgart,1,Sparta Prague,1,1 - 1,2024-10-01T16:45:00Z
4621576,Arsenal,2,PSG,0,2 - 0,2024-10-01T19:00:00Z
4621538,Barcelona,5,Young Boys,0,5 - 0,2024-10-01T19:00:00Z
4621559,Leverkusen,1,Milan,0,1 - 0,2024-10-01T19:00:00Z
4621532,Dortmund,7,Celtic,1,7 - 1,2024-10-01T19:00:00Z
4621504,Inter,4,FK Crvena Zvezda,0,4 - 0,2024-10-01T19:00:00Z
4621629,PSV Eindhoven,1,Sporting CP,1,1 - 1,2024-10-01T19:00:00Z
4621499,Slovan Bratislava,0,Man City,4,0 - 4,2024-10-01T19:00:00Z
4621627,Girona,2,Feyenoord,3,2 - 3,2024-10-02T16:45:00Z
4621584,Shakhtar Donetsk,0,Atalanta,3,0 - 3,2024-10-02T16:45:00Z
4621515,Aston Villa,1,Bayern München,0,1 - 0,2024-10-02T19:00:00Z
4621569,Benfica,4,Atletico Madrid,0,4 - 0,2024-10-02T19:00:00Z
4621638,Dinamo Zagreb,2,Monaco,2,2 - 2,2024-10-02T19:00:00Z
4621547,Lille,1,Real Madrid,0,1 - 0,2024-10-02T19:00:00Z
4621555,Liverpool,2,Bologna,0,2 - 0,2024-10-02T19:00:00Z
4621518,RB Leipzig,2,Juventus,3,2 - 3,2024-10-02T19:00:00Z
4621613,Sturm Graz,0,Club Brugge,1,0 - 1,2024-10-02T19:00:00Z
4621609,Milan,3,Club Brugge,1,3 - 1,2024-10-22T16:45:00Z
4621646,Monaco,5,FK Crvena Zvezda,1,5 - 1,2024-10-22T16:45:00Z
