id,name,localizedName,logo
42,Champions League,Champions League,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/42.png
73,Europa League,Europa League,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/73.png
9470,AFC Challenge League,AFC Challenge League,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9470.png
525,AFC Champions League Elite,AFC Champions League Elite,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/525.png
10622,AFC Champions League Elite Qualification,AFC Champions League Elite Qualification,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10622.png
9469,AFC Champions League Two,AFC Champions League Two,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9469.png
10511,AFC Summer Olympics Qualification (Women),AFC Summer Olympics Qualification (Women),https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10511.png
9841,AFC U20 Asian Cup,AFC U20 Asian Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9841.png
9265,AFF Championship,AFF Championship,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9265.png
289,Africa Cup of Nations,Africa Cup of Nations,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/289.png
10608,Africa Cup of Nations Qualification,Africa Cup of Nations Qualification,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10608.png
10508,African Football League,African Football League,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10508.png
9428,African Nations Championship,African Nations Championship,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9428.png
9579,Algarve Cup (W),Algarve Cup (W),https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9579.png
10474,Arab Club Champions Cup,Arab Club Champions Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10474.png
290,Asian Cup,Asian Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/290.png
10609,Asian Cup  Qualification Playoff,Asian Cup  Qualification Playoff,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10609.png
9833,Asian Games,Asian Games,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9833.png
10656,Beta Squad vs Amp Charity,Beta Squad vs Amp Charity,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10656.png
526,CAF Champions League,CAF Champions League,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/526.png
10619,CAF Champions League Qualification,CAF Champions League Qualification,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10619.png
9468,CAF Confed Cup,CAF Confed Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9468.png
9467,CAF Super Cup,CAF Super Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9467.png
9875,Campeones Cup,Campeones Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9875.png
10611,Champions League Qualification,Champions League Qualification,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10611.png
489,Club Friendlies,Club Friendlies,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/489.png
9682,CONCACAF Central American Cup,CONCACAF Central American Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9682.png
297,CONCACAF Champions Cup,CONCACAF Champions Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/297.png
9656,CONCACAF Championship U20,CONCACAF Championship U20,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9656.png
10621,CONCACAF Championship U20 Qualification,CONCACAF Championship U20 Qualification,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10621.png
298,CONCACAF Gold Cup,CONCACAF Gold Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/298.png
10603,CONCACAF Gold Cup Women,CONCACAF Gold Cup Women,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10603.png
9821,CONCACAF Nations League,CONCACAF Nations League,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9821.png
10216,Conference League,Conference League,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10216.png
10615,Conference League Qualification,Conference League Qualification,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10615.png
10304,CONMEBOL - UEFA Cup of Champions,CONMEBOL - UEFA Cup of Champions,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10304.png
44,Copa America,Copa America,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/44.png
10368,Copa America Femenina,Copa America Femenina,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10368.png
