name,shortName,id,deduction,ongoing,played,wins,draws,losses,scoresStr,goalConDiff,pts,idx,qualColor,logo,league_id
Liverpool,Liverpool,8650,,,6,6,0,0,13-1,12,18,1,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8650_large.png,42
Barcelona,Barcelona,8634,,,6,5,0,1,21-7,14,15,2,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8634_large.png,42
Arsenal,Arsenal,9825,,,6,4,1,1,11-2,9,13,3,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/9825_large.png,42
Bayer Leverkusen,Leverkusen,8178,,,6,4,1,1,12-5,7,13,4,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8178_large.png,42
Aston Villa,Aston Villa,10252,,,6,4,1,1,9-3,6,13,5,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/10252_large.png,42
Inter,Inter,8636,,,6,4,1,1,7-1,6,13,6,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8636_large.png,42
Brest,Brest,8521,,,6,4,1,1,10-6,4,13,7,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8521_large.png,42
Lille,Lille,8639,,,6,4,1,1,10-7,3,13,8,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8639_large.png,42
Borussia Dortmund,Dortmund,9789,,,6,4,0,2,18-9,9,12,9,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9789_large.png,42
Bayern München,Bayern München,9823,,,6,4,0,2,17-8,9,12,10,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9823_large.png,42
Atletico Madrid,Atletico Madrid,9906,,,6,4,0,2,14-10,4,12,11,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9906_large.png,42
Milan,Milan,8564,,,6,4,0,2,12-9,3,12,12,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8564_large.png,42
Atalanta,Atalanta,8524,,,6,3,2,1,13-4,9,11,13,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8524_large.png,42
Juventus,Juventus,9885,,,6,3,2,1,9-5,4,11,14,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9885_large.png,42
Benfica,Benfica,9772,,,6,3,1,2,10-7,3,10,15,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9772_large.png,42
Monaco,Monaco,9829,,,6,3,1,2,12-10,2,10,16,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9829_large.png,42
Sporting CP,Sporting CP,9768,,,6,3,1,2,11-9,2,10,17,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9768_large.png,42
Feyenoord,Feyenoord,10235,,,6,3,1,2,14-15,-1,10,18,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/10235_large.png,42
Club Brugge,Club Brugge,8342,,,6,3,1,2,6-8,-2,10,19,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8342_large.png,42
Real Madrid,Real Madrid,8633,,,6,3,0,3,12-11,1,9,20,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8633_large.png,42
Celtic,Celtic,9925,,,6,2,3,1,10-10,0,9,21,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9925_large.png,42
Manchester City,Man City,8456,,,6,2,2,2,13-9,4,8,22,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8456_large.png,42
PSV Eindhoven,PSV Eindhoven,8640,,,6,2,2,2,10-8,2,8,23,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8640_large.png,42
Dinamo Zagreb,Dinamo Zagreb,10156,,,6,2,2,2,10-15,-5,8,24,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/10156_large.png,42
Paris Saint-Germain,PSG,9847,,,6,2,1,3,6-6,0,7,25,,https://images.fotmob.com/image_resources/logo/teamlogo/9847_large.png,42
VfB Stuttgart,VfB Stuttgart,10269,,,6,2,1,3,9-12,-3,7,26,,https://images.fotmob.com/image_resources/logo/teamlogo/10269_large.png,42
Shakhtar Donetsk,Shakhtar Donetsk,9728,,,6,1,1,4,5-13,-8,4,27,,https://images.fotmob.com/image_resources/logo/teamlogo/9728_large.png,42
Sparta Prague,Sparta Prague,10247,,,6,1,1,4,7-18,-11,4,28,,https://images.fotmob.com/image_resources/logo/teamlogo/10247_large.png,42
Sturm Graz,Sturm Graz,10014,,,6,1,0,5,4-9,-5,3,29,,https://images.fotmob.com/image_resources/logo/teamlogo/10014_large.png,42
Girona,Girona,7732,,,6,1,0,5,4-10,-6,3,30,,https://images.fotmob.com/image_resources/logo/teamlogo/7732_large.png,42
Red Star Belgrade,Red Star Belgrade,8687,,,6,1,0,5,10-19,-9,3,31,,https://images.fotmob.com/image_resources/logo/teamlogo/8687_large.png,42
Salzburg,Salzburg,10013,,,6,1,0,5,3-18,-15,3,32,,https://images.fotmob.com/image_resources/logo/teamlogo/10013_large.png,42
Bologna,Bologna,9857,,,6,0,2,4,1-7,-6,2,33,,https://images.fotmob.com/image_resources/logo/teamlogo/9857_large.png,42
RB Leipzig,RB Leipzig,178475,,,6,0,0,6,6-13,-7,0,34,,https://images.fotmob.com/image_resources/logo/teamlogo/178475_large.png,42
Slovan Bratislava,Slovan Bratislava,6019,,,6,0,0,6,5-21,-16,0,35,,https://images.fotmob.com/image_resources/logo/teamlogo/6019_large.png,42
Young Boys,Young Boys,10192,,,6,0,0,6,3-22,-19,0,36,,https://images.fotmob.com/image_resources/logo/teamlogo/10192_large.png,42
Lazio,Lazio,8543,,,6,5,1,0,14-3,11,16,1,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8543_large.png,73
Athletic Club,Athletic Club,8315,,,6,5,1,0,11-2,9,16,2,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8315_large.png,73
Anderlecht,Anderlecht,8635,,,6,4,2,0,11-6,5,14,3,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8635_large.png,73
Lyon,Lyon,9748,,,6,4,1,1,15-7,8,13,4,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/9748_large.png,73
Eintracht Frankfurt,Frankfurt,9810,,,6,4,1,1,12-8,4,13,5,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/9810_large.png,73
Galatasaray,Galatasaray,8637,,,6,3,3,0,15-11,4,12,6,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8637_large.png,73
Manchester United,Man United,10260,,,6,3,3,0,12-8,4,12,7,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/10260_large.png,73
Rangers,Rangers,8548,,,6,3,2,1,13-7,6,11,8,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8548_large.png,73
Tottenham Hotspur,Tottenham,8586,,,6,3,2,1,11-7,4,11,9,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8586_large.png,73
FCSB,FCSB,9723,,,6,3,2,1,7-5,2,11,10,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9723_large.png,73
Ajax,Ajax,8593,,,6,3,1,2,14-6,8,10,11,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8593_large.png,73
Real Sociedad,Real Sociedad,8560,,,6,3,1,2,10-6,4,10,12,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8560_large.png,73
Bodø/Glimt,Bodø/Glimt,8402,,,6,3,1,2,10-9,1,10,13,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8402_large.png,73
Roma,Roma,8686,,,6,2,3,1,8-5,3,9,14,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8686_large.png,73
Olympiacos,Olympiacos,8638,,,6,2,3,1,5-3,2,9,15,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8638_large.png,73
Ferencvaros,Ferencvaros,8222,,,6,3,0,3,11-10,1,9,16,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8222_large.png,73
Viktoria Plzen,Viktoria Plzen,6033,,,6,2,3,1,10-9,1,9,17,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/6033_large.png,73
FC Porto,FC Porto,9773,,,6,2,2,2,12-10,2,8,18,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9773_large.png,73
AZ Alkmaar,AZ Alkmaar,10229,,,6,2,2,2,9-9,0,8,19,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/10229_large.png,73
Union St.Gilloise,Union St.Gilloise,7978,,,6,2,2,2,5-5,0,8,20,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/7978_large.png,73
Fenerbahçe,Fenerbahçe,8695,,,6,2,2,2,7-9,-2,8,21,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8695_large.png,73
PAOK Thessaloniki FC,PAOK Thessaloniki FC,8619,,,6,2,1,3,10-8,2,7,22,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8619_large.png,73
FC Midtjylland,FC Midtjylland,8113,,,6,2,1,3,5-7,-2,7,23,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8113_large.png,73
Elfsborg,Elfsborg,8014,,,6,2,1,3,8-11,-3,7,24,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8014_large.png,73
Braga,Braga,10264,,,6,2,1,3,7-10,-3,7,25,,https://images.fotmob.com/image_resources/logo/teamlogo/10264_large.png,73
Hoffenheim,Hoffenheim,8226,,,6,1,3,2,5-8,-3,6,26,,https://images.fotmob.com/image_resources/logo/teamlogo/8226_large.png,73
Maccabi Tel Aviv,Maccabi Tel Aviv,7855,,,6,2,0,4,7-13,-6,6,27,,https://images.fotmob.com/image_resources/logo/teamlogo/7855_large.png,73
Beşiktaş,Beşiktaş,10188,,,6,2,0,4,6-13,-7,6,28,,https://images.fotmob.com/image_resources/logo/teamlogo/10188_large.png,73
Slavia Prague,Slavia Prague,7787,,,6,1,1,4,5-7,-2,4,29,,https://images.fotmob.com/image_resources/logo/teamlogo/7787_large.png,73
FC Twente,FC Twente,8611,,,6,0,4,2,4-7,-3,4,30,,https://images.fotmob.com/image_resources/logo/teamlogo/8611_large.png,73
Malmö FF,Malmö FF,10237,,,6,1,1,4,6-12,-6,4,31,,https://images.fotmob.com/image_resources/logo/teamlogo/10237_large.png,73
Ludogorets Razgrad,Ludogorets Razgrad,210173,,,6,0,3,3,3-8,-5,3,32,,https://images.fotmob.com/image_resources/logo/teamlogo/210173_large.png,73
Qarabag FK,Qarabag FK,7981,,,6,1,0,5,4-14,-10,3,33,,https://images.fotmob.com/image_resources/logo/teamlogo/7981_large.png,73
RFS,RFS,248871,,,6,0,2,4,5-12,-7,2,34,,https://images.fotmob.com/image_resources/logo/teamlogo/248871_large.png,73
Nice,Nice,9831,,,6,0,2,4,6-14,-8,2,35,,https://images.fotmob.com/image_resources/logo/teamlogo/9831_large.png,73
Dynamo Kyiv,Dynamo Kyiv,8688,,,6,0,0,6,1-15,-14,0,36,,https://images.fotmob.com/image_resources/logo/teamlogo/8688_large.png,73
Chelsea,Chelsea,8455,,,5,5,0,0,21-4,17,15,1,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8455_large.png,10216
Vitoria de Guimaraes,Vitoria de Guimaraes,7844,,,5,4,1,0,12-5,7,13,2,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/7844_large.png,10216
Fiorentina,Fiorentina,8535,,,5,4,0,1,17-6,11,12,3,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8535_large.png,10216
Legia Warszawa,Legia Warszawa,8673,,,5,4,0,1,12-2,10,12,4,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/8673_large.png,10216
Lugano,Lugano,7896,,,5,4,0,1,9-5,4,12,5,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/7896_large.png,10216
Shamrock Rovers,Shamrock Rovers,4131,,,5,3,2,0,11-4,7,11,6,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/4131_large.png,10216
Cercle Brugge,Cercle Brugge,9984,,,5,3,1,1,13-6,7,10,7,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/9984_large.png,10216
Jagiellonia Bialystok,Jagiellonia Bialystok,1957,,,5,3,1,1,10-5,5,10,8,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/1957_large.png,10216
Rapid Wien,Rapid Wien,10015,,,5,3,1,1,8-5,3,10,9,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/10015_large.png,10216
APOEL Nicosia,APOEL Nicosia,8621,,,5,3,1,1,7-4,3,10,10,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8621_large.png,10216
Djurgården,Djurgården,9802,,,5,3,1,1,8-6,2,10,11,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9802_large.png,10216
Pafos FC,Pafos FC,2137,,,5,3,0,2,9-5,4,9,12,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/2137_large.png,10216
Gent,Gent,9991,,,5,3,0,2,8-7,1,9,13,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9991_large.png,10216
Olimpija Ljubljana,Olimpija Ljubljana,7872,,,5,3,0,2,7-6,1,9,14,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/7872_large.png,10216
